BOROUGH,ADDRESS,ZIP,# of Tanks,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
BROOKLYN,210 Joralemon Street,11201,3,11/28/20,Violation,Violation,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,40.692459,-73.990491,2,33,9
BRONX,1551 Unionport Road,10462,1,10/19/20,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.836926,-73.857433,9,18,212
MANHATTAN,111 John St,10038,3,4/4/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.707671,-74.005764,1,1,1502
MANHATTAN,100 Centre street,10013,2,11/27/24,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,125 worth street,10013,2,5/23/22,Violation,Meets standards,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,40.715428,-74.002673,1,1,31
MANHATTAN,1 Centre street,10007,1,11/20/24,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
BROOKLYN,360 adams street,11201,1,12/12/21,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,,,40.694122,-73.988904,2,33,11
MANHATTAN,225 Broadway,10007,2,10/11/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.71187,-74.008217,1,1,21
BRONX,1469 East Avenue,10462,1,10/21/20,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.83674,-73.860183,9,18,212
MANHATTAN,230 East 115th Street,10029,1,9/30/20,Violation,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.796689,-73.939208,11,8,180
MANHATTAN,100 Centre street,10013,1,12/5/21,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,,,40.716084,-74.001425,1,1,29
MANHATTAN,47 East 88th Street,10128,1,4/20/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.78198,-73.95741,8,4,15002
QUEENS,40-35 72 Street,11377,1,9/22/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.74598,-73.893442,4,25,265
BRONX,265 east 161 street,10451,1,12/3/21,Violation,Violation,Violation,Meets standards,Violation,Meets standards,,,40.825928,-73.919514,4,16,18302
BROOKLYN,345 Adams street,11201,1,6/23/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
MANHATTAN,125 worth street,10013,2,12/10/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,,,40.715428,-74.002673,1,1,31
MANHATTAN,31 Chambers street,10007,1,11/21/20,Violation,Violation,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,40.713402,-74.004635,1,1,31
BROOKLYN,345 Adams street,11201,2,6/23/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
BRONX,44 Metropolitan Oval,10462,1,10/19/20,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.837755,-73.859639,9,18,212
BROOKLYN,138 Willoughby Street,11201,1,6/24/24,Meets standards,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Violation,Meets standards,40.692069,-73.983135,2,33,15
MANHATTAN,80 Centre Street,10013,1,6/1/22,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.715447,-74.00189,1,1,29
BROOKLYN,360 Adams street,11201,2,10/26/24,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.694122,-73.988904,2,33,11
BRONX,1118 Grand Concourse,10456,1,11/21/20,Meets standards,Violation,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,40.832232,-73.919655,4,16,18102
