,BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
6902,BROOKLYN,2940 WEST 31 STREET,11224.0,1,2021-11-10 00:00:00,N,N,N,N,N,N,N,N,,40.57448,-73.997372,13.0,47.0,342.0
6906,MANHATTAN,115 East 23rd Street,10010.0,1,2020-06-20 00:00:00,N,N,N,N,N,N,N,N,Y,40.739872,-73.985584,5.0,2.0,68.0
6909,MANHATTAN,30 West 90th Street,10024.0,1,2023-12-19 00:00:00,N,N,N,N,N,N,N,N,,40.78842,-73.968806,7.0,6.0,173.0
6910,MANHATTAN,15 WEST 12 STREET,10011.0,1,2022-03-22 00:00:00,N,N,N,N,N,N,N,N,,40.73497,-73.995266,2.0,3.0,63.0
6912,MANHATTAN,51 West 52nd Street,10019.0,1,2021-10-28 00:00:00,N,N,N,N,N,N,N,N,,40.760648,-73.978309,5.0,4.0,104.0
6914,MANHATTAN,2300 5th Ave,10037.0,1,2024-06-28 00:00:00,N,N,N,N,N,N,N,N,,40.81551,-73.935632,10.0,9.0,214.0
6915,MANHATTAN,15 WEST 47TH ST,10036.0,1,2024-12-14 00:00:00,N,N,N,N,N,N,N,N,,40.757003,-73.979368,5.0,4.0,96.0
6918,MANHATTAN,483 WEST END AVENUE,10024.0,1,2020-09-10 00:00:00,N,N,N,N,N,N,N,N,Y,40.787072,-73.9792,7.0,6.0,171.0
6920,MANHATTAN,160 West 66th Street,10023.0,1,2024-06-05 00:00:00,N,N,N,N,N,N,N,N,,40.774428,-73.98354,7.0,6.0,149.0
6922,MANHATTAN,56 Nagle Avenue,10040.0,1,2021-02-09 00:00:00,N,N,N,N,N,N,N,N,,40.860004,-73.929093,12.0,10.0,285.0
6924,MANHATTAN,157 EAST 72 STREET,10021.0,1,2023-09-19 00:00:00,N,N,N,N,N,N,N,N,,40.770201,-73.961652,8.0,4.0,128.0
6926,MANHATTAN,404 East 76th Street,10021.0,1,2023-12-07 00:00:00,N,N,N,N,N,N,N,N,,40.770215,-73.953717,8.0,5.0,132.0
6928,MANHATTAN,60 East 12 Street,10003.0,1,2022-03-29 00:00:00,N,N,N,N,N,N,N,N,,40.733117,-73.990911,2.0,2.0,61.0
6931,MANHATTAN,110 East 59th Street,10022.0,2,2022-05-21 00:00:00,N,N,N,N,N,N,N,N,,40.762631,-73.969157,5.0,4.0,11203.0
6933,MANHATTAN,24 West 25 Street,10010.0,1,2021-05-15 00:00:00,N,N,N,N,N,N,N,N,,40.743383,-73.990004,5.0,3.0,58.0
6934,MANHATTAN,350 EAST 82 STREET,10028.0,1,2022-12-06 00:00:00,N,N,N,N,N,N,N,N,,40.774779,-73.952432,8.0,5.0,138.0
6935,MANHATTAN,450 West 42nd Street,10036.0,2,2021-03-31 00:00:00,N,N,N,N,N,N,N,N,,40.759212,-73.99451,4.0,3.0,115.0
6937,MANHATTAN,200 West 143 Street,10030.0,2,2024-05-08 00:00:00,N,N,N,N,N,N,N,N,,40.820379,-73.940137,10.0,9.0,232.0
6940,MANHATTAN,210 CENTRAL PARK SOUTH,10019.0,1,2024-12-24 00:00:00,N,N,N,N,N,N,N,N,,40.76709,-73.979617,5.0,4.0,137.0
6941,BROOKLYN,4 Metro Tech Center,11201.0,2,2024-06-22 00:00:00,N,N,N,N,N,N,N,N,,40.693666,-73.983686,2.0,33.0,15.0
6945,MANHATTAN,150 East 52 Street,10022.0,1,2021-10-06 00:00:00,N,N,N,N,N,N,N,N,,40.757534,-73.970965,6.0,4.0,100.0
6948,MANHATTAN,666 Fifth Avenue,10103.0,1,2022-05-11 00:00:00,N,N,N,N,N,N,N,N,,40.760549,-73.976421,5.0,4.0,104.0
6949,MANHATTAN,353 WEST   56 STREET,10019.0,1,2020-10-29 00:00:00,N,N,N,N,N,N,N,N,Y,40.766677,-73.984838,4.0,3.0,139.0
6950,MANHATTAN,639 West End Avenue,10025.0,1,2022-07-14 00:00:00,N,N,N,N,N,N,N,N,,40.792176,-73.975475,7.0,6.0,179.0
6951,MANHATTAN,2 Lexington Ave,10010.0,1,2022-05-03 00:00:00,N,N,N,N,N,N,N,N,,40.738315,-73.985616,6.0,2.0,68.0
6954,MANHATTAN,277 Broadway,10007.0,1,2021-06-11 00:00:00,N,N,N,N,N,N,N,N,,40.714349,-74.006172,1.0,1.0,21.0
