BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
MANHATTAN,519 Eighth Avenue,10018,1,12/16/23,N,N,N,N,N,N,N,N,,40.753385,-73.992604,4,3,111
MANHATTAN,74 5 AVENUE,10011,1,7/8/20,N,N,N,N,N,N,N,N,Y,40.735519,-73.993981,2,3,63
MANHATTAN,481 8th Avenue,10001,2,5/25/23,N,N,N,N,N,N,N,N,,40.752295,-73.993402,4,3,111
MANHATTAN,120 Claremont Avenue,10027,1,6/30/23,N,N,N,N,N,N,N,N,,40.812475,-73.961931,9,7,211
MANHATTAN,125 worth street,10013,1,12/19/20,A,N,A,A,A,N,N,N,,40.715428,-74.002673,1,1,31
MANHATTAN,114 W. 47th Street,10036,1,6/17/21,N,N,N,N,N,N,N,N,,40.75831,-73.982504,5,4,125
MANHATTAN,12 West 96th Street,10025,1,8/13/20,N,N,A,N,N,N,N,N,,40.79188,-73.965222,7,6,181
MANHATTAN,9 Murray Street,10007,1,4/22/23,N,N,N,N,N,N,N,N,,40.713314,-74.007759,1,1,21
MANHATTAN,440 EAST 23 STREET,10010,1,8/17/22,N,N,N,N,N,N,N,N,,40.73614,-73.977014,6,4,60
MANHATTAN,462 7th Avenue,10018,1,12/2/23,N,N,N,N,N,N,N,N,,40.751754,-73.990075,5,3,109
